"Year","State","Type","Production","Avg","Measures","Materials","Chemical","Value"
2019,"CALIFORNIA"," ","ACRES HARVESTED"," "," "," ","","7,500"
2019,"CALIFORNIA"," ","PRODUCTION"," ","MEASURED IN LB"," ","","143,500,000"
2019,"CALIFORNIA"," ","YIELD"," ","MEASURED IN LB / ACRE"," ","","19,100"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(AZOXYSTROBIN = 128810)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)","FUNGICIDE","(NA)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(BACILLUS SUBTILIS = 6479)","FUNGICIDE","(NA)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(BORAX DECAHYDRATE = 11102)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(BOSCALID = 128008)","FUNGICIDE","300"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(CALCIUM POLYSULFIDE = 76702)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(CAPTAN = 81301)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(COPPER OCTANOATE = 23306)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(COPPER OXIDE = 25601)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(CYPRODINIL = 288202)","FUNGICIDE","900"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(FENHEXAMID = 90209)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(FLUDIOXONIL = 71503)","FUNGICIDE","600"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(FLUOPYRAM = 80302)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(FLUXAPYROXAD = 138009)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(IPRODIONE = 109801)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(ISOFETAMID = 270000)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(MEFENOXAM = 113502)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(MYCLOBUTANIL = 128857)","FUNGICIDE","300"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(OXATHIAPIPROLIN = 128111)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(POLYOXIN D ZINC SALT = 230000)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(POTASSIUM BICARBON. = 73508)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(PROPICONAZOLE = 122101)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(PYRACLOSTROBIN = 99100)","FUNGICIDE","200"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(PYRIMETHANIL = 288201)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(QUINOLINE = 55459)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(STREPTOMYCES LYDICUS = 6327)","FUNGICIDE","(NA)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(SULFUR = 77501)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(TOTAL)","FUNGICIDE","24,000"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(TRIFLOXYSTROBIN = 129112)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(TRIFLUMIZOLE = 128879)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(CARFENTRAZONE-ETHYL = 128712)","HERBICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(CLETHODIM = 121011)","HERBICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(FLUMIOXAZIN = 129034)","HERBICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(GLYPHOSATE POT. SALT = 103613)","HERBICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(OXYFLUORFEN = 111601)","HERBICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(PARAQUAT = 61601)","HERBICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(PENDIMETHALIN = 108501)","HERBICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(TOTAL)","HERBICIDE","200"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(ABAMECTIN = 122804)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(ACEQUINOCYL = 6329)","INSECTICIDE","600"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(ACETAMIPRID = 99050)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(AZADIRACHTIN = 121701)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(BIFENAZATE = 586)","INSECTICIDE","700"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(BIFENTHRIN = 128825)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(BT KURSTAK ABTS-1857 = 6523)","INSECTICIDE","(NA)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(BT KURSTAKI ABTS-351 = 6522)","INSECTICIDE","(NA)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(BT KURSTAKI EG7841 = 6453)","INSECTICIDE","(NA)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(BT KURSTAKI SA-11 = 6519)","INSECTICIDE","(NA)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(BT SUB AIZAWAI GC-91 = 6426)","INSECTICIDE","(NA)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(CHLORANTRANILIPROLE = 90100)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(CYFLUMETOFEN = 138831)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(DELTAMETHRIN = 97805)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(DIAZINON = 57801)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(ETOXAZOLE = 107091)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(HEXYTHIAZOX = 128849)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(IMIDACLOPRID = 129099)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(MALATHION = 57701)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(METHOXYFENOZIDE = 121027)","INSECTICIDE","300"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(NALED = 34401)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(NEEM OIL = 25006)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(NEEM OIL","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(PETROLEUM DISTILLATE = 63503)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(PIPERONYL BUTOXIDE = 67501)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(POTASSIUM SALTS = 79021)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(PYRETHRINS = 69001)","INSECTICIDE","200"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(SPINETORAM = 110007)","INSECTICIDE","200"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(SPINOSAD = 110003)","INSECTICIDE","600"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(SPIROMESIFEN = 24875)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(THIAMETHOXAM = 60109)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(TOTAL)","INSECTICIDE","45,300"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(ZETA-CYPERMETHRIN = 129064)","INSECTICIDE","200"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(CAPRIC ACID = 128955)","OTHER","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(CAPRYLIC ACID = 128919)","OTHER","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(CHLOROPICRIN = 81501)","OTHER","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(DICHLOROPROPENE = 29001)","OTHER","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(FLUTRIAFOL = 128940)","OTHER","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(IRON PHOSPHATE = 34903)","OTHER","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(METALDEHYDE = 53001)","OTHER","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(MINERAL OIL = 63502)","OTHER","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(PAECILOMYCES FUMOSOR = 115002)","OTHER","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB","(TOTAL)","OTHER","98,100"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","(NITROGEN)","84,000"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","(PHOSPHATE)","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","(POTASH)","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","(SULFUR)","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(AZOXYSTROBIN = 128810)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)","FUNGICIDE","(NA)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(BACILLUS SUBTILIS = 6479)","FUNGICIDE","(NA)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(BORAX DECAHYDRATE = 11102)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(BOSCALID = 128008)","FUNGICIDE","0.358"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CALCIUM POLYSULFIDE = 76702)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CAPTAN = 81301)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(COPPER OCTANOATE = 23306)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(COPPER OXIDE = 25601)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CYPRODINIL = 288202)","FUNGICIDE","0.324"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(FENHEXAMID = 90209)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUDIOXONIL = 71503)","FUNGICIDE","0.216"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUOPYRAM = 80302)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUXAPYROXAD = 138009)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(IPRODIONE = 109801)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(ISOFETAMID = 270000)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(MEFENOXAM = 113502)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(MYCLOBUTANIL = 128857)","FUNGICIDE","0.079"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(OXATHIAPIPROLIN = 128111)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(POLYOXIN D ZINC SALT = 230000)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(POTASSIUM BICARBON. = 73508)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(PROPICONAZOLE = 122101)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(PYRACLOSTROBIN = 99100)","FUNGICIDE","0.182"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(PYRIMETHANIL = 288201)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(QUINOLINE = 55459)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(STREPTOMYCES LYDICUS = 6327)","FUNGICIDE","(NA)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(SULFUR = 77501)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(TRIFLOXYSTROBIN = 129112)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(TRIFLUMIZOLE = 128879)","FUNGICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CARFENTRAZONE-ETHYL = 128712)","HERBICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CLETHODIM = 121011)","HERBICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUMIOXAZIN = 129034)","HERBICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(GLYPHOSATE POT. SALT = 103613)","HERBICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(OXYFLUORFEN = 111601)","HERBICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(PARAQUAT = 61601)","HERBICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(PENDIMETHALIN = 108501)","HERBICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(ABAMECTIN = 122804)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(ACEQUINOCYL = 6329)","INSECTICIDE","0.303"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(ACETAMIPRID = 99050)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(AZADIRACHTIN = 121701)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(BIFENAZATE = 586)","INSECTICIDE","0.501"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(BIFENTHRIN = 128825)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(BT KURSTAK ABTS-1857 = 6523)","INSECTICIDE","(NA)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(BT KURSTAKI ABTS-351 = 6522)","INSECTICIDE","(NA)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(BT KURSTAKI EG7841 = 6453)","INSECTICIDE","(NA)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(BT KURSTAKI SA-11 = 6519)","INSECTICIDE","(NA)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(BT SUB AIZAWAI GC-91 = 6426)","INSECTICIDE","(NA)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CHLORANTRANILIPROLE = 90100)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CYFLUMETOFEN = 138831)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(DELTAMETHRIN = 97805)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(DIAZINON = 57801)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(ETOXAZOLE = 107091)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(HEXYTHIAZOX = 128849)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(IMIDACLOPRID = 129099)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(MALATHION = 57701)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(METHOXYFENOZIDE = 121027)","INSECTICIDE","0.129"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(NALED = 34401)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(NEEM OIL = 25006)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(NEEM OIL","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(PETROLEUM DISTILLATE = 63503)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(PIPERONYL BUTOXIDE = 67501)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(POTASSIUM SALTS = 79021)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(PYRETHRINS = 69001)","INSECTICIDE","0.042"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(SPINETORAM = 110007)","INSECTICIDE","0.077"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(SPINOSAD = 110003)","INSECTICIDE","0.084"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(SPIROMESIFEN = 24875)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(THIAMETHOXAM = 60109)","INSECTICIDE","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(ZETA-CYPERMETHRIN = 129064)","INSECTICIDE","0.046"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CAPRIC ACID = 128955)","OTHER","(D)"
2019,"CALIFORNIA"," BEARING","APPLICATIONS","AVG","MEASURED IN LB / ACRE / APPLICATION","(CAPRYLIC ACID = 128919)","OTHER","(D)"
